"NIVGEO","CODGEO","LIBGEO","AGEFOR5","NB_tot"
"COM","21001","Agencourt",0,29.1583567651102
"COM","21001","Agencourt",3,24.0073662315297
"COM","21001","Agencourt",6,29.7046985562583
"COM","21001","Agencourt",11,18.8677330313924
"COM","21001","Agencourt",18,9.90156618541941
"COM","21002","Agey",0,14.5467752131828
"COM","21002","Agey",6,14.2838791186421
"COM","21002","Agey",11,24.2926363012481
"COM","21002","Agey",18,4.67485955951573
"COM","21003","Ahuy",0,59.8127941805791
"COM","21003","Ahuy",3,73.6157466837899
"COM","21003","Ahuy",6,69.0147625160533
"COM","21003","Ahuy",11,128.827556696632
"COM","21003","Ahuy",18,32.2068891741578
"COM","21003","Ahuy",25,4.6009841677367
"COM","21004","Aignay-le-Duc",0,10
"COM","21004","Aignay-le-Duc",3,10
"COM","21004","Aignay-le-Duc",6,10
"COM","21004","Aignay-le-Duc",11,5
"COM","21004","Aignay-le-Duc",18,5
"COM","21004","Aignay-le-Duc",25,5
"COM","21005","Aiserey",0,51.1731634154867
"COM","21005","Aiserey",3,46.0907101347091
"COM","21005","Aiserey",6,74.9398766202213
"COM","21005","Aiserey",11,151.095483764936
"COM","21005","Aiserey",18,66.4367112622362
"COM","21005","Aiserey",25,31.9012700123038
"COM","21006","Aisey-sur-Seine",0,4.96557214244762
"COM","21006","Aisey-sur-Seine",6,9.93114428489523
"COM","21006","Aisey-sur-Seine",11,19.8622885697905
"COM","21006","Aisey-sur-Seine",18,4.96557214244762
"COM","21007","Aisy-sous-Thil",3,15.2017937219731
"COM","21007","Aisy-sous-Thil",6,20.2690582959642
"COM","21007","Aisy-sous-Thil",11,15.2017937219731
"COM","21007","Aisy-sous-Thil",18,5.06726457399103
"COM","21008","Alise-Sainte-Reine",0,9.92929886102331
"COM","21008","Alise-Sainte-Reine",3,4.886539611581
"COM","21008","Alise-Sainte-Reine",6,19.7542676273177
"COM","21008","Alise-Sainte-Reine",11,29.6311259367444
"COM","21008","Alise-Sainte-Reine",18,5.0438671174595
"COM","21008","Alise-Sainte-Reine",25,4.99086970630993
"COM","21009","Allerey",0,9.8314606741573
"COM","21009","Allerey",3,4.91573033707865
"COM","21009","Allerey",6,9.8314606741573
"COM","21009","Allerey",11,14.747191011236
"COM","21010","Aloxe-Corton",0,5
"COM","21010","Aloxe-Corton",11,20
"COM","21010","Aloxe-Corton",18,10
"COM","21011","Ampilly-les-Bordes",18,10
"COM","21012","Ampilly-le-Sec",6,29.1525058597205
"COM","21012","Ampilly-le-Sec",11,48.516676881523
"COM","21012","Ampilly-le-Sec",25,5.05767401562553
"COM","21013","Ancey",0,20
"COM","21013","Ancey",3,20
"COM","21013","Ancey",6,65
"COM","21013","Ancey",11,25
"COM","21013","Ancey",25,20
"COM","21014","Antheuil",6,5
"COM","21014","Antheuil",11,5
"COM","21015","Antigny-la-Ville",6,9.78723404255319
"COM","21015","Antigny-la-Ville",11,14.6808510638298
"COM","21016","Arceau",0,31.4604345391027
"COM","21016","Arceau",3,52.4001024541053
"COM","21016","Arceau",6,83.9624023264055
"COM","21016","Arceau",11,78.5835783800384
"COM","21016","Arceau",18,26.2508741879024
"COM","21016","Arceau",25,10.5207666241001
"COM","21017","Arcenant",0,14.9143624170484
"COM","21017","Arcenant",3,34.6392914703709
"COM","21017","Arcenant",6,9.75861783744574
"COM","21017","Arcenant",11,69.3488194344507
"COM","21017","Arcenant",18,19.5854936945086
"COM","21017","Arcenant",25,15.0547800441152
"COM","21018","Arcey",6,10
"COM","21018","Arcey",11,5
"COM","21020","Arconcey",0,5
"COM","21020","Arconcey",3,5
"COM","21020","Arconcey",6,30
"COM","21020","Arconcey",11,40
"COM","21020","Arconcey",18,10
"COM","21021","Arc-sur-Tille",0,85.684432515339
"COM","21021","Arc-sur-Tille",3,126.006518404911
"COM","21021","Arc-sur-Tille",6,136.087039877304
"COM","21021","Arc-sur-Tille",11,211.690950920248
"COM","21021","Arc-sur-Tille",18,146.167561349695
"COM","21021","Arc-sur-Tille",25,55.4428680981593
"COM","21022","Argilly",0,21.1419649434469
"COM","21022","Argilly",3,27.1590995690442
"COM","21022","Argilly",6,43.049203430039
"COM","21022","Argilly",11,70.3604751317603
"COM","21022","Argilly",18,10.647068538062
"COM","21022","Argilly",25,5.09956458597116
"COM","21023","Arnay-le-Duc",0,19.3147819694182
"COM","21023","Arnay-le-Duc",3,9.68953687569617
"COM","21023","Arnay-le-Duc",6,63.0507259156412
"COM","21023","Arnay-le-Duc",11,63.381986841197
"COM","21023","Arnay-le-Duc",18,29.3346787603053
"COM","21023","Arnay-le-Duc",25,29.6016600259234
"COM","21024","Arnay-sous-Vitteaux",3,5
"COM","21024","Arnay-sous-Vitteaux",6,10
"COM","21024","Arnay-sous-Vitteaux",11,15
"COM","21025","Arrans",3,5
"COM","21025","Arrans",6,5
"COM","21025","Arrans",11,5
"COM","21025","Arrans",25,5
"COM","21026","Asnières-en-Montagne",0,9.89528795811518
"COM","21026","Asnières-en-Montagne",3,4.94764397905759
"COM","21026","Asnières-en-Montagne",6,9.89528795811518
"COM","21026","Asnières-en-Montagne",11,19.7905759162304
"COM","21026","Asnières-en-Montagne",25,4.94764397905759
"COM","21027","Asnières-lès-Dijon",0,50.3093810270919
"COM","21027","Asnières-lès-Dijon",3,37.9450222935349
"COM","21027","Asnières-lès-Dijon",6,80.2963440863475
"COM","21027","Asnières-lès-Dijon",11,135.556228986619
"COM","21027","Asnières-lès-Dijon",18,71.4453772553991
"COM","21027","Asnières-lès-Dijon",25,35.2122645449105
